developer,degree_centrality,betweenness,eigenvector,clustering,community
source,0.0035211267605633804,0.0,1.3013539274042582e-16,0.0,5
target,0.0035211267605633804,0.0,1.3013539274042582e-16,0.0,5
Asuhan,0.0035211267605633804,0.0,0.011808023977336305,0.0,1
apaszke,0.25,0.12135991444811861,0.2611369431286159,,1
nishantpdce,0.014084507042253521,0.0,0.020406806407564104,,1
raghuramank100,0.03169014084507042,0.0037158485610109065,0.061255379246506654,,1
dzhulgakov,0.08450704225352113,0.015312953881118462,0.12014544123740048,,1
ZolotukhinM,0.04929577464788733,0.014063395678842126,0.07828876243103192,,1
zdevito,0.1267605633802817,0.019980976722388206,0.19162051951796813,,1
Roulbac,0.0035211267605633804,0.0,0.011808023977336305,0.0,1
eskjorg,0.01056338028169014,0.005844948778382019,0.036439751502350945,,2
ssnl,0.1795774647887324,0.0960987902765483,0.19894505271839374,,0
ezyang,0.4471830985915493,0.31498920971921346,0.3457852443365808,,2
zdong1995,0.007042253521126761,0.0008406041197378711,0.021274041210102658,,2
VitalyFedyunin,0.07394366197183098,0.021088016330212688,0.12469036727668475,,0
asuhan,0.02112676056338028,0.013723637934376918,0.04465054952419975,,0
ailzhang,0.07394366197183098,0.017520944634705656,0.14010949459580851,,0
li-roy,0.03873239436619719,0.011878529263011396,0.06574865173369876,,0
gchanan,0.16549295774647887,0.03946062853703915,0.21693810831885338,,0
wanchaol,0.07394366197183098,0.014588177328801792,0.14414471674803397,,0
bddppq,0.11267605633802817,0.07341230872801312,0.11189188120796617,,1
soumith,0.397887323943662,0.27949175582870217,0.3086295302989853,,3
goldsborough,0.056338028169014086,0.01973534258026587,0.09243267341692386,,0
jamesr66a,0.05985915492957747,0.005284678595831928,0.12550863036501153,,1
yf225,0.09507042253521127,0.054492340858268644,0.13624266863741832,,0
fmassa,0.15140845070422534,0.07296479168900387,0.1705359613245514,,0
ArmaanSethi,0.0035211267605633804,0.0,0.004179466396159283,0.0,0
xzhu1900,0.017605633802816902,0.0,0.047737711675689014,,3
sgolodetz,0.007042253521126761,0.0019797178181010194,0.019815429812805634,,2
MiroFurtado,0.007042253521126761,0.0037032145770153385,0.018135249795224687,,3
jaliyae,0.017605633802816902,0.0,0.047737711675689014,,3
ebetica,0.014084507042253521,0.008987068420810639,0.03578527010197423,,0
an-kumar,0.0035211267605633804,0.0,0.004179466396159283,0.0,0
smessmer,0.06338028169014084,0.008341941833216461,0.11021116241887864,,1
Maratyszcza,0.0035211267605633804,0.0,0.013955783399065402,0.0,3
sighingnow,0.0035211267605633804,0.0,0.013955783399065402,0.0,3
mcarilli,0.014084507042253521,0.0006414674816697923,0.04415090936875518,,0
ZhuBaohe,0.014084507042253521,0.0,0.04631734035964358,,0
igormq,0.0035211267605633804,0.0,0.015635963416646352,0.0,2
lanpa,0.007042253521126761,0.0023797332993943745,0.018424218525075243,,4
benoitsteiner,0.007042253521126761,0.004180037093512044,0.02222996947198876,,2
sinkingsugar,0.02112676056338028,0.009168819043482733,0.0552336801995464,,1
tunz,0.007042253521126761,0.0,0.016376415774171,,2
zasdfgbnm,0.04929577464788733,0.008324630042124897,0.10269932167715726,,4
ahmadsalim,0.017605633802816902,0.0077732123939755916,0.03873728390538112,,2
zou3519,0.11971830985915494,0.05335633448509485,0.17094977012710463,,0
suo,0.09507042253521127,0.03091804540667336,0.13871318142912636,,1
