repository,username,mention_count,roles,is_known_bot,only_comments,high_volume,suspected_bot
apache-spark,gatorsmile,2045,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
apache-spark,SparkQA,13212,['comment_authors'],False,True,True,True
apache-spark,cloud-fan,9856,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
apache-spark,maropu,3000,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
apache-spark,viirya,3506,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
apache-spark,hvanhovell,891,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
apache-spark,dongjoon-hyun,9868,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
apache-spark,vinodkc,85,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,gczsjdy,21,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,juliuszsompolski,349,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,HyukjinKwon,12056,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
apache-spark,vanzin,1047,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
apache-spark,squito,404,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,jiangxb1987,550,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
apache-spark,ajbozarth,9,"['comment_authors', 'review_comment_authors']",False,True,False,True
apache-spark,gengliangwang,2400,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
apache-spark,sergey-rubtsov,6,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,icexelloss,100,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,BryanCutler,367,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,MrBago,28,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,jkbradley,103,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,jerryshao,247,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,zsxwing,434,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,yaooqinn,1622,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
apache-spark,felixcheung,590,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
apache-spark,WeichenXu123,384,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,kiszk,780,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
apache-spark,dbtsai,343,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,bersprockets,259,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
apache-spark,srowen,4315,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
