repository,username,mention_count,roles,is_known_bot,only_comments,high_volume,suspected_bot
kubernetes,CaoShuFeng,318,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,lavalamp,2214,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,k8s-github-robot,5047,['comment_authors'],False,True,True,True
kubernetes,k8s-ci-robot,43156,"['comment_authors', 'review_comment_authors']",False,True,True,True
kubernetes,mkumatag,315,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,vielmetti,3,['comment_authors'],False,True,False,True
kubernetes,ixdy,723,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,luxas,410,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,mlmhl,128,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,jsafrane,1945,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,cblecker,1121,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,wenlxie,35,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,tsmetana,60,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,zhangxiaoyu-zidif,125,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,mtaufen,571,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,sttts,2357,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,hzxuzhonghu,609,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,coderwangke,5,"['comment_authors', 'author']",False,False,False,False
kubernetes,jingxu97,787,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,stewart-yu,244,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,derekwaynecarr,862,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,dashpole,1149,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,ncdc,244,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,sjenning,339,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,caseydavenport,83,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,thockin,2206,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,nikhita,1346,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,chenchun,30,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,MrHohn,646,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,mbohlool,345,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,dims,7263,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,m1093782566,255,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,wojtek-t,3499,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,zouyee,245,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,lcfang,50,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,dixudx,620,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,tallclair,1151,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,liggitt,13176,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,fejta-bot,9180,['comment_authors'],False,True,True,True
kubernetes,cuericlee,9,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,yujuhong,843,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,soltysh,1816,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,base698,1,['comment_authors'],False,True,False,True
kubernetes,sonu27,1,['comment_authors'],False,True,False,True
kubernetes,Hashfyre,1,['comment_authors'],False,True,False,True
kubernetes,deads2k,2357,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,rooookkie,1,['author'],False,False,False,False
kubernetes,huzhengchuan,4,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,bsalamat,646,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,mborsz,437,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,gyliu513,14,"['comment_authors', 'author']",False,False,False,False
kubernetes,porridge,26,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,mattjmcnaughton,773,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,DirectXMan12,179,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,MaciekPytel,386,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,xiangpengzhao,149,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,bowei,573,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,roberthbailey,143,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,fejta,413,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,karataliu,68,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,steveperry-53,7,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,lilic,16,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,Dirbaio,3,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,jingax10,93,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,ikehz,19,"['comment_authors', 'author']",False,False,False,False
kubernetes,cjcullen,118,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,davidvonthenen,8,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,gnufied,1230,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,verult,308,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,saad-ali,568,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,davidz627,579,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,jdumars,117,"['comment_authors', 'review_comment_authors']",False,True,False,True
kubernetes,brendandburns,130,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,divyenpatel,128,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,luomiao,5,"['comment_authors', 'review_comment_authors']",False,True,False,True
kubernetes,rjog,4,"['comment_authors', 'author']",False,False,False,False
kubernetes,andyzhangx,1479,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,yastij,409,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,timothysc,785,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,kad,134,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,jolestar,2,"['comment_authors', 'author']",False,False,False,False
kubernetes,rata,81,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,chakri-nelluri,37,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,k82cn,583,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,rajansandeep,204,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,0xmichalis,72,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,BenTheElder,2378,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,fturib,31,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,chrisohaver,91,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,x13n,171,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,crassirostris,94,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,anjensan,14,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,zhengweina,1,['comment_authors'],False,True,False,True
kubernetes,jennybuckley,592,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,smarterclayton,1492,"['comment_authors', 'author', 'review_comment_authors']",False,False,True,True
kubernetes,sdboyer,1,['comment_authors'],False,True,False,True
kubernetes,filbranden,66,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,Random-Liu,458,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,yguo0905,160,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,cimomo,9,"['comment_authors', 'author']",False,False,False,False
kubernetes,stevekuznetsov,183,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
kubernetes,php-coder,225,"['comment_authors', 'author', 'review_comment_authors']",False,False,False,False
