repository,username,mention_count,roles,is_known_bot,only_comments,high_volume,suspected_bot
scikit-learn,srajanpaliwal,1,['author'],False,False,False,False
scikit-learn,amueller,1209,"['author', 'review_comment_authors', 'comment_authors']",False,False,True,True
scikit-learn,jnothman,2654,"['author', 'review_comment_authors', 'comment_authors']",False,False,True,True
scikit-learn,NicolasHug,1661,"['author', 'review_comment_authors', 'comment_authors']",False,False,True,True
scikit-learn,lesteve,879,"['author', 'review_comment_authors', 'comment_authors']",False,False,True,True
scikit-learn,krazedkrish,2,"['author', 'comment_authors']",False,False,False,False
scikit-learn,mabelvj,3,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,qinhanmin2014,778,"['author', 'review_comment_authors', 'comment_authors']",False,False,True,True
scikit-learn,glemaitre,4871,"['author', 'review_comment_authors', 'comment_authors']",False,False,True,True
scikit-learn,barrywhart,4,"['author', 'comment_authors']",False,False,False,False
scikit-learn,njsmith,3,"['review_comment_authors', 'comment_authors']",False,True,False,True
scikit-learn,ogrisel,2587,"['author', 'review_comment_authors', 'comment_authors']",False,False,True,True
scikit-learn,jtlz2,1,['comment_authors'],False,True,False,True
scikit-learn,pinakinathc,11,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,albertcthomas,116,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,rth,1445,"['author', 'review_comment_authors', 'comment_authors']",False,False,True,True
scikit-learn,qmick,7,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,thechargedneutron,8,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,chris-hld,1,['author'],False,False,False,False
scikit-learn,has2k1,2,"['author', 'comment_authors']",False,False,False,False
scikit-learn,jotasi,14,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,sklearn-lgtm,80,['comment_authors'],False,True,False,True
scikit-learn,Johayon,12,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,chang,5,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,thomasjpfan,3877,"['author', 'review_comment_authors', 'comment_authors']",False,False,True,True
scikit-learn,agramfort,366,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,maykulkarni,12,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,aboucaud,15,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,shenhanc78,2,"['author', 'comment_authors']",False,False,False,False
scikit-learn,gxyd,8,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,sergeyf,34,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,ashimb9,2,"['author', 'comment_authors']",False,False,False,False
scikit-learn,maskani-moh,20,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,davidpickup,1,['author'],False,False,False,False
scikit-learn,icfly2,3,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,cmarmo,733,"['author', 'review_comment_authors', 'comment_authors']",False,False,True,True
scikit-learn,tagomatech,1,['review_comment_authors'],False,True,False,True
scikit-learn,TomDLT,357,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,pntemi,1,['author'],False,False,False,False
scikit-learn,kmike,3,"['review_comment_authors', 'comment_authors']",False,True,False,True
scikit-learn,GTimothy,1,['comment_authors'],False,True,False,True
scikit-learn,janvanrijn,28,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,mfenner1,1,['review_comment_authors'],False,True,False,True
scikit-learn,GaelVaroquaux,265,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,ngoix,18,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,Kanatoko,2,"['author', 'comment_authors']",False,False,False,False
scikit-learn,jwjohnson314,3,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,mchels,1,['comment_authors'],False,True,False,True
scikit-learn,sarim-zafar,2,['comment_authors'],False,True,False,True
scikit-learn,Hellisotherpeople,1,['comment_authors'],False,True,False,True
scikit-learn,pgromano,1,['author'],False,False,False,False
scikit-learn,rtlee9,5,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,syashakash,4,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,NarineK,3,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,7ayushgupta,2,"['author', 'comment_authors']",False,False,False,False
scikit-learn,luca-s,2,['author'],False,False,False,False
scikit-learn,cclauss,10,"['author', 'comment_authors']",False,False,False,False
scikit-learn,luigiDB,2,"['author', 'comment_authors']",False,False,False,False
scikit-learn,martin-kokos,3,"['author', 'comment_authors']",False,False,False,False
scikit-learn,jorisvandenbossche,177,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,jmargeta,3,"['review_comment_authors', 'comment_authors']",False,True,False,True
scikit-learn,jlcx,1,['author'],False,False,False,False
scikit-learn,tommyod,6,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,Nirvan101,3,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,hunan-rostomyan,1,['author'],False,False,False,False
scikit-learn,mohamed-ali,21,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,rsivapr,1,['review_comment_authors'],False,True,False,True
scikit-learn,kkang2097,8,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,EmreAtes,5,"['author', 'comment_authors']",False,False,False,False
scikit-learn,nurdtechie98,1,['author'],False,False,False,False
scikit-learn,Derrreks,4,"['author', 'comment_authors']",False,False,False,False
scikit-learn,cwitte,3,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,jb-delafosse,3,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,FilFilias,1,['comment_authors'],False,True,False,True
scikit-learn,ymazari,3,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,LiAlexJ,2,"['author', 'comment_authors']",False,False,False,False
scikit-learn,SandraMNE,4,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,uwaisiqbal,1,['author'],False,False,False,False
scikit-learn,dorcoh,8,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,dmohns,6,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,jboes,3,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,giiyms,1,['comment_authors'],False,True,False,True
scikit-learn,adrinjalali,1883,"['author', 'review_comment_authors', 'comment_authors']",False,False,True,True
scikit-learn,holmrenser,1,['comment_authors'],False,True,False,True
scikit-learn,FrankHui,1,['author'],False,False,False,False
scikit-learn,cperales,7,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,doctorcorral,1,['comment_authors'],False,True,False,True
scikit-learn,LPugens,2,"['author', 'comment_authors']",False,False,False,False
scikit-learn,sj,1,['comment_authors'],False,True,False,True
scikit-learn,ghost,105,"['author', 'comment_authors']",False,False,False,False
scikit-learn,rrkarim,3,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,lorentzenchr,814,"['author', 'review_comment_authors', 'comment_authors']",False,False,True,True
scikit-learn,ShangwuYao,9,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,dakl,1,['author'],False,False,False,False
scikit-learn,Persola,1,['author'],False,False,False,False
scikit-learn,wdevazelhes,47,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,saqibns,3,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,giba0,5,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,luispedro,1,['author'],False,False,False,False
scikit-learn,nok,7,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,dpstart,1,['author'],False,False,False,False
scikit-learn,aurel-av,1,['comment_authors'],False,True,False,True
scikit-learn,antquinonez,3,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,artiemq,1,['author'],False,False,False,False
scikit-learn,trishnendu,1,['author'],False,False,False,False
scikit-learn,Zhdanovich,5,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,f0k,3,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,richford,7,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,chadykamar,4,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,martin-hahn,2,"['author', 'comment_authors']",False,False,False,False
scikit-learn,varunagrawal,6,"['author', 'review_comment_authors', 'comment_authors']",False,False,False,False
scikit-learn,ARK3r,1,['author'],False,False,False,False
