covid_phase,closed_duration_days,merged_duration_days,repository
during,2.1502488425925925,1.958113425925926,scikit-learn
post,3.6943171296296295,3.749490740740741,scikit-learn
pre,2.820758101851852,1.8245023148148147,scikit-learn
during,3.343269675925926,0.8896643518518519,pytorch
post,2.5023900462962962,0.6429282407407408,pytorch
pre,1.843449074074074,0.6434837962962963,pytorch
during,8.187725694444445,6.036956018518518,kubernetes
post,9.897789351851852,6.177094907407407,kubernetes
pre,5.674247685185185,4.140144675925926,kubernetes
during,1.426261574074074,0.6755439814814814,apache-spark
post,0.9869097222222222,2.0002314814814817,apache-spark
pre,3.1736574074074073,,apache-spark
