repository,username,mention_count,roles,is_known_bot,only_comments,high_volume,suspected_bot
pytorch,goldsborough,717,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
pytorch,ezyang,13173,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
pytorch,soumith,1190,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
pytorch,alicanb,48,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,apaszke,1604,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
pytorch,Gosicfly,3,"['author', 'comment_authors']",False,False,False,False
pytorch,zhouzq-thu,3,"['author', 'comment_authors']",False,False,False,False
pytorch,kashif,12,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,lucasb-eyer,2,['comment_authors'],False,True,False,True
pytorch,untom,1,['comment_authors'],False,True,False,True
pytorch,eece-23,1,['comment_authors'],False,True,False,True
pytorch,hkchengrex,1,['comment_authors'],False,True,False,True
pytorch,bhack,13,"['comment_authors', 'review_comment_authors']",False,True,False,True
pytorch,loshchil,4,"['comment_authors', 'review_comment_authors']",False,True,False,True
pytorch,weiyangfb,193,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,jpeg729,2,"['comment_authors', 'review_comment_authors']",False,True,False,True
pytorch,HaraldKorneliussen,1,['comment_authors'],False,True,False,True
pytorch,vishwakftw,663,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
pytorch,acburigo,4,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,MicaelCarvalho,1,['review_comment_authors'],False,True,False,True
pytorch,ogrisel,1,['review_comment_authors'],False,True,False,True
pytorch,jusjusjus,3,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,yf225,1268,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
pytorch,pytorchbot,1386,"['author', 'comment_authors']",False,False,True,True
pytorch,peterjc123,951,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
pytorch,alykhantejani,3,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,lanpa,57,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,zou3519,3574,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
pytorch,ssnl,1596,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
pytorch,colesbury,650,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
pytorch,myleott,9,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,gchanan,2442,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
pytorch,neerajprad,138,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,fritzo,258,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,Erotemic,29,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,zdevito,1565,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
pytorch,sighingnow,17,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,houseroad,938,"['author', 'comment_authors', 'review_comment_authors']",False,False,True,True
pytorch,jekbradbury,22,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,yongjik,11,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,dasguptar,5,"['author', 'comment_authors']",False,False,False,False
pytorch,netheril96,1,['author'],False,False,False,False
pytorch,N-Dekker,1,['comment_authors'],False,True,False,True
pytorch,jlquinn,2,"['author', 'review_comment_authors']",False,False,False,False
pytorch,elanmart,19,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,Stonesjtu,49,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,vadimkantorov,480,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,lantiga,39,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,JustinShenk,1,['author'],False,False,False,False
pytorch,fmassa,382,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,deepbrain,1,['comment_authors'],False,True,False,True
pytorch,ppwwyyxx,127,"['author', 'comment_authors', 'review_comment_authors']",False,False,False,False
pytorch,keishinkickback,2,"['author', 'review_comment_authors']",False,False,False,False
