pr_number,created_at,author,merged,review_count,comment_count,approvals
18656,2019-03-30T15:03:14Z,gujinghui,False,4,11,1
18655,2019-03-30T14:17:35Z,zasdfgbnm,False,0,0,0
18654,2019-03-30T13:12:11Z,zasdfgbnm,False,0,0,0
18653,2019-03-30T12:21:00Z,MarkPare,False,2,0,1
18651,2019-03-30T07:25:08Z,zasdfgbnm,False,1,1,1
18650,2019-03-30T07:25:01Z,zasdfgbnm,False,2,4,1
18649,2019-03-30T07:24:57Z,zasdfgbnm,False,1,0,1
18648,2019-03-30T07:24:52Z,zasdfgbnm,False,3,5,2
18646,2019-03-30T06:21:08Z,wytyang00,False,1,0,1
18644,2019-03-30T01:12:03Z,zasdfgbnm,False,0,0,0
18642,2019-03-30T00:43:44Z,zasdfgbnm,False,2,0,1
18640,2019-03-29T23:27:44Z,bddppq,False,2,0,1
18639,2019-03-29T22:28:38Z,soumith,False,2,0,1
18638,2019-03-29T21:41:43Z,BloodAxe,False,2,0,1
18637,2019-03-29T21:33:20Z,kostmo,False,0,0,0
18636,2019-03-29T21:00:49Z,efaust,False,2,4,1
18635,2019-03-29T20:59:28Z,xiaomengy,False,1,0,1
18633,2019-03-29T20:45:37Z,wanchaol,False,4,7,2
18632,2019-03-29T20:33:19Z,yf225,False,3,0,2
18629,2019-03-29T19:23:22Z,ezyang,False,2,2,1
18628,2019-03-29T19:23:17Z,ezyang,False,1,0,1
18625,2019-03-29T18:45:35Z,li-roy,False,0,0,0
18624,2019-03-29T18:27:48Z,LeviViana,False,4,28,0
18623,2019-03-29T18:06:56Z,eellison,False,2,0,1
18622,2019-03-29T18:02:36Z,duc0,False,1,0,1
18621,2019-03-29T17:51:28Z,zrphercule,False,0,0,0
18618,2019-03-29T16:42:14Z,VitalyFedyunin,False,6,30,1
18615,2019-03-29T10:19:32Z,t-vi,False,2,0,1
18614,2019-03-29T09:00:58Z,ahmadsalim,False,3,1,2
18613,2019-03-29T07:27:03Z,bddppq,False,0,0,0
18612,2019-03-29T06:58:28Z,xiaomengy,False,1,0,1
18610,2019-03-29T05:08:15Z,dylanbespalko,False,2,18,0
18609,2019-03-29T04:51:33Z,bddppq,False,2,0,1
18608,2019-03-29T04:49:40Z,soumith,False,3,0,2
18606,2019-03-29T04:05:16Z,bwasti,False,0,0,0
18605,2019-03-29T03:47:34Z,gchanan,False,3,1,1
18604,2019-03-29T03:25:37Z,iArunava,False,2,0,1
18603,2019-03-29T02:19:12Z,li-roy,False,3,2,0
18601,2019-03-29T01:15:01Z,kostmo,False,3,1,1
18600,2019-03-29T01:12:33Z,smessmer,False,0,0,0
18599,2019-03-29T01:12:22Z,smessmer,False,0,0,0
18598,2019-03-29T01:07:15Z,ezyang,False,4,5,1
