username,mention_count,roles,username_lower,is_known_bot,only_comments,high_volume,is_behavioral_bot,suspected_bot
goldsborough,717,"['comment_authors', 'review_comment_authors', 'author']",goldsborough,False,False,True,True,True
ezyang,13173,"['comment_authors', 'review_comment_authors', 'author']",ezyang,False,False,True,True,True
soumith,1190,"['comment_authors', 'author', 'review_comment_authors']",soumith,False,False,True,True,True
alicanb,48,"['comment_authors', 'review_comment_authors', 'author']",alicanb,False,False,False,False,False
apaszke,1604,"['comment_authors', 'author', 'review_comment_authors']",apaszke,False,False,True,True,True
Gosicfly,3,"['comment_authors', 'author']",gosicfly,False,False,False,False,False
zhouzq-thu,3,"['comment_authors', 'author']",zhouzq-thu,False,False,False,False,False
kashif,12,"['comment_authors', 'review_comment_authors', 'author']",kashif,False,False,False,False,False
lucasb-eyer,2,['comment_authors'],lucasb-eyer,False,True,False,True,True
untom,1,['comment_authors'],untom,False,True,False,True,True
eece-23,1,['comment_authors'],eece-23,False,True,False,True,True
hkchengrex,1,['comment_authors'],hkchengrex,False,True,False,True,True
bhack,13,"['comment_authors', 'review_comment_authors']",bhack,False,True,False,True,True
loshchil,4,"['comment_authors', 'review_comment_authors']",loshchil,False,True,False,True,True
weiyangfb,193,"['comment_authors', 'author', 'review_comment_authors']",weiyangfb,False,False,False,False,False
jpeg729,2,"['comment_authors', 'review_comment_authors']",jpeg729,False,True,False,True,True
HaraldKorneliussen,1,['comment_authors'],haraldkorneliussen,False,True,False,True,True
vishwakftw,663,"['author', 'comment_authors', 'review_comment_authors']",vishwakftw,False,False,True,True,True
acburigo,4,"['author', 'comment_authors', 'review_comment_authors']",acburigo,False,False,False,False,False
MicaelCarvalho,1,['review_comment_authors'],micaelcarvalho,False,True,False,True,True
ogrisel,1,['review_comment_authors'],ogrisel,False,True,False,True,True
jusjusjus,3,"['comment_authors', 'review_comment_authors', 'author']",jusjusjus,False,False,False,False,False
yf225,1268,"['comment_authors', 'review_comment_authors', 'author']",yf225,False,False,True,True,True
pytorchbot,1386,"['comment_authors', 'author']",pytorchbot,False,False,True,True,True
peterjc123,951,"['author', 'comment_authors', 'review_comment_authors']",peterjc123,False,False,True,True,True
alykhantejani,3,"['comment_authors', 'review_comment_authors', 'author']",alykhantejani,False,False,False,False,False
lanpa,57,"['comment_authors', 'review_comment_authors', 'author']",lanpa,False,False,False,False,False
zou3519,3574,"['comment_authors', 'review_comment_authors', 'author']",zou3519,False,False,True,True,True
ssnl,1596,"['comment_authors', 'review_comment_authors', 'author']",ssnl,False,False,True,True,True
colesbury,650,"['author', 'comment_authors', 'review_comment_authors']",colesbury,False,False,True,True,True
myleott,9,"['author', 'comment_authors', 'review_comment_authors']",myleott,False,False,False,False,False
