repo,phase,degree_mean,degree_median,degree_max,degree_std,strength_mean,strength_median,strength_max,strength_std,betweenness_mean,betweenness_median,betweenness_max,betweenness_std
apache-spark,during,3.3465346534653464,2.0,26,4.21307050214058,11.366336633663366,5.0,119,17.538144794458383,0.014774772999688008,0.0,0.2593217247097844,0.03658693590233483
apache-spark,post,2.710526315789474,2.0,12,2.398976389900127,9.368421052631579,6.0,64,11.711922250724578,0.027064169432590466,0.0,0.3350750750750751,0.05588269773174659
apache-spark,pre,4.511627906976744,2.0,48,6.3111229870612675,20.488372093023255,5.0,255,38.310441428944934,0.012311418651507903,0.00017199862401100002,0.195812570642292,0.03014777615433084
kubernetes,during,25.944055944055943,6.0,617,55.21603049953545,211.43636363636364,15.0,13470,735.7524360151535,0.001331233109301478,6.389263084777459e-05,0.0687124000559126,0.0043796066697947495
kubernetes,post,19.252955082742318,7.0,184,28.648297709042676,119.90543735224587,21.0,2246,257.02300511809955,0.004225167741017286,0.0003985184131896,0.0805972326655721,0.009435499101559714
kubernetes,pre,31.881034482758622,7.0,477,59.82800760666732,262.6655172413793,20.0,10686,776.3060226113245,0.001576814976932894,9.289919473150376e-05,0.0503613863731992,0.004389654578193541
pytorch,during,20.149439601494397,6.0,293,38.86908244523456,474.107098381071,20.0,24603,2065.0100749059975,0.0026479927330071234,0.0001098436923803,0.1111980531020675,0.007637295040226819
pytorch,post,24.87123287671233,8.0,149,35.87550772873496,586.4109589041096,24.0,10229,1718.1898684532498,0.0054320021606486515,0.0003231976277658,0.0774665312968512,0.011029348766474273
pytorch,pre,13.916434540389972,6.0,228,25.561596819148946,317.1364902506964,17.0,12240,1459.3607121004334,0.0051577562284331495,0.0008168756327492,0.2355682200449145,0.017054472397232952
scikit-learn,during,2.885496183206107,1.0,37,5.261823640254314,9.312977099236642,3.0,138,19.969624613961795,0.012582977903411051,0.0,0.3098052077121844,0.041468346014098253
scikit-learn,post,2.9714285714285715,1.0,15,3.51873735948593,9.771428571428572,5.0,64,14.369259906206057,0.05482556659027246,0.0,0.4385026737967914,0.10764372261992301
scikit-learn,pre,2.905263157894737,1.0,28,4.674679837052734,9.073684210526316,3.0,124,18.808804018932737,0.02247709183734902,0.0,0.3661252192480744,0.06335617070490644
