repo,metric,phase_pair,spearman_corr,from_phase,to_phase,retention_rate,edge_overlap
scikit-learn,degree,pre_during,0.3238942676005137,,,,
scikit-learn,betweenness,pre_during,0.4576870442732972,,,,
scikit-learn,degree,during_post,0.5157256702858718,,,,
scikit-learn,betweenness,during_post,0.37750223377873743,,,,
pytorch,degree,pre_during,0.4438796219298196,,,,
pytorch,betweenness,pre_during,0.3011838668562665,,,,
pytorch,degree,during_post,0.7414063525297804,,,,
pytorch,betweenness,during_post,0.6787220586464858,,,,
kubernetes,degree,pre_during,0.5522955302193769,,,,
kubernetes,betweenness,pre_during,0.5618978174802739,,,,
kubernetes,degree,during_post,0.7087437442096713,,,,
kubernetes,betweenness,during_post,0.6519092756651015,,,,
apache-spark,degree,pre_during,0.31287913472697226,,,,
apache-spark,betweenness,pre_during,0.3761456924960044,,,,
apache-spark,degree,during_post,0.3262944847829255,,,,
apache-spark,betweenness,during_post,0.3869615799369117,,,,
scikit-learn,,,,pre,during,0.23157894736842105,
scikit-learn,,,,during,post,0.11450381679389313,
pytorch,,,,pre,during,0.46518105849582175,
pytorch,,,,during,post,0.26525529265255293,
kubernetes,,,,pre,during,0.44568965517241377,
kubernetes,,,,during,post,0.22097902097902097,
apache-spark,,,,pre,during,0.313953488372093,
apache-spark,,,,during,post,0.2524752475247525,
scikit-learn,,,,pre,during,,0.10869565217391304
scikit-learn,,,,during,post,,0.06349206349206349
pytorch,,,,pre,during,,0.3266613290632506
pytorch,,,,during,post,,0.28627935723114956
kubernetes,,,,pre,during,,0.25915310150884213
kubernetes,,,,during,post,,0.13978436657681942
apache-spark,,,,pre,during,,0.06443298969072164
apache-spark,,,,during,post,,0.047337278106508875
