developer,degree_centrality,betweenness,eigenvector,clustering,community
ezyang,0.4471830985915493,0.3149892097192134,0.3457852443365808,,2
soumith,0.397887323943662,0.2794917558287021,0.3086295302989853,,3
apaszke,0.25,0.1213599144481186,0.2611369431286159,,1
gchanan,0.1654929577464788,0.0394606285370391,0.2169381083188533,,0
ssnl,0.1795774647887324,0.0960987902765483,0.1989450527183937,,0
zdevito,0.1267605633802817,0.0199809767223882,0.1916205195179681,,1
zou3519,0.1197183098591549,0.0533563344850948,0.1709497701271046,,0
fmassa,0.1514084507042253,0.0729647916890038,0.1705359613245514,,0
ngimel,0.0915492957746478,0.0112810253456079,0.1502308493880041,,0
houseroad,0.1267605633802817,0.0514933493526683,0.1458305632856064,,1
wanchaol,0.0739436619718309,0.0145881773288017,0.1441447167480339,,0
ailzhang,0.0739436619718309,0.0175209446347056,0.1401094945958085,,0
suo,0.0950704225352112,0.0309180454066733,0.1387131814291263,,1
yf225,0.0950704225352112,0.0544923408582686,0.1362426686374183,,0
cpuhrsch,0.0739436619718309,0.0107838492934965,0.1293953993570308,,0
jamesr66a,0.0598591549295774,0.0052846785958319,0.1255086303650115,,1
VitalyFedyunin,0.0739436619718309,0.0210880163302126,0.1246903672766847,,0
dzhulgakov,0.0845070422535211,0.0153129538811184,0.1201454412374004,,1
colesbury,0.056338028169014,0.0080447445346946,0.1161729880833327,,0
eellison,0.0669014084507042,0.0042554110880668,0.1144253359244833,,1
